"Job","Site","Classification","Asset ID","Description","Location ID","Location","Manufacturer","Model","Serial","AMP FRAME","ASSET UID BREAKER IS INSTALLED IN","BREAKER CONSTRUCTION","BREAKER MOUNT","BREAKER TYPE","GROUND FAULT DELAY (TG(S))","GROUND FAULT PICK UP (PU X IN) (IG)","GROUND FAULT (I2T)","INST (X IN) (II)","KA RATING","LONG TIME DELAY (LTD / TR(S))","LONG TIME PICK UP (LTPU X IN) (IR)","OPERATOR TYPE","SENSOR IN (PLUG RATING)","SHORT TIME (I2T)","SHORT TIME DELAY (TSD(S))","SHORT TIME PICK UP (PU X IR) (LSD)","TRIP MODEL","TRIP TYPE","VERIFIED AGAINST COORDINATION STUDY","VOLTAGE RATING"
"SY6 Breakers — Asset Capture","SY6","BREAKER","1055","SY6-BLK1-PR1-MSB-1-1_ACB-INCOMING MAINS","SY6-L1-14","SY6-L1-BLK1-PR-1-1","SCHNEIDER","NW16 H1","A2141210003","1600","","ACB - AIR CIRCUIT BREAKER","WITHDRAWABLE","INPUT","","","","","","","","Electrical","","","","","MicroLogic 5.0P (LSI)","","VALIDATED",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1056","SY6-BLK1-PR1-MSB-1-1_ACB-TRANSFER SWITCH MAIN SUPPLY","SY6-L1-14","SY6-L1-BLK1-PR-1-1","SCHNEIDER","NW16 H1","A2210310026","1600","","ACB - AIR CIRCUIT BREAKER","WITHDRAWABLE","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1057","SY6-BLK1-PR1-MSB-1-1_ACB-TRANSFER SWITCH GENERATOR SUPPLY","SY6-L1-14","SY6-L1-BLK1-PR-1-1","SCHNEIDER","NW32 HF","A2141230022-2","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1058","SY6-BLK1-PR1-MSB-1-1_ACB-N1-UPS 1-1 INTERNAL BYPASS","SY6-L1-14","SY6-L1-BLK1-PR-1-1","SCHNEIDER","NW32 H1","A2141230010","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1059","SY6-BLK1-PR1-MSB-1-1_ACB-N2-UPS 1-1 MAINS","SY6-L1-14","SY6-L1-BLK1-PR-1-1","SCHNEIDER","NW32 HF","A2141230022-1","3200","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1060","SY6-BLK1-PR1-MSB-1-1 ACB-N3-UPS 1-1 WRAP AROUND","SY6-L1-14","SY6-L1-BLK1-PR-1-1","SCHNEIDER","NW20 H1","A2141210002","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1068","SY6-BLK1-PR2-MSB-1-2_ACB-INCOMING MAINS","SY6-L1-15","SY6-L1-BLK1-PR-1-2","SCHNEIDER","NW16 H1","A2141230009","1600","","ACB - AIR CIRCUIT BREAKER","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1069","SY6-BLK1-PR2-MSB-1-2_ACB-TRANSFER SWITCH MAIN SUPPLY","SY6-L1-15","SY6-L1-BLK1-PR-1-2","SCHNEIDER","NW40 HA","A2173340023","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1070","SY6-BLK1-PR2-MSB-1-2_ACB-TRANSFER SWITCH GENERATOR SUPPLY","SY6-L1-15","SY6-L1-BLK1-PR-1-2","SCHNEIDER","NW32 HF","A2130930089","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1071","SY6-BLK1-PR2-MSB-1-2_ACB-N1-UPS 1-2 INTERNAL BYPASS","SY6-L1-15","SY6-L1-BLK1-PR-1-2","SCHNEIDER","NW32 H1","A2130930001","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1072","SY6-BLK1-PR2-MSB-1-2_ACB-N2-UPS 1-2 MAINS","SY6-L1-15","SY6-L1-BLK1-PR-1-2","SCHNEIDER","NW32 HF","A2130930088","","","","","","","","","","","","","","","","","","","","",""
